Function Name,Number of Calls,Elapsed Inclusive Time %,Elapsed Exclusive Time %,Avg Elapsed Inclusive Time,Avg Elapsed Exclusive Time,Module Name
"SmsFeedback_Take4.Controllers.ReportsController.GetAvgNoOfTagsPerConversationInfo(string,string,string,string,string)",1,2.78,0,"1,596.83",0.34,SmsFeedback_Take4.dll
System.Web.HttpServerUtility.set_ScriptTimeout(int32),1,0,0,0.34,0.34,System.Web.dll
System.Web.UI.HtmlControls.HtmlHead..ctor(string),1,0,0,0.34,0.34,System.Web.dll
System.Web.Mvc.Controller.get_RouteData(),97,0,0,0,0,System.Web.Mvc.dll
"SmsFeedback_Take4.Controllers.ReportsController.GetIncomingOutgoingThirdArea(string,string,string,string)",1,2.24,0,"1,284.47",0.32,SmsFeedback_Take4.dll
"log4net.ILog.DebugFormat(string,object)",3,0,0,0.11,0.11,log4net.dll
System.DateTime.ToString(string),66,0,0,0,0,mscorlib.dll
SmsFeedback_Take4.Controllers.WorkingPointsController.WorkingPointsPerUser(),2,1.32,0,380.39,0.16,SmsFeedback_Take4.dll
Resources.Global.get_btnNotificationSolve(),2,0,0,0.16,0.15,SmsFeedback_Take4.dll
System.Collections.Generic.IEnumerator`1.get_Current(),"1,484",0,0,0,0,mscorlib.dll
System.Web.HttpResponseBase.set_BufferOutput(bool),2,0,0,0.14,0.14,System.Web.dll
"System.Web.Mvc.UrlHelper.Action(string,string)",2,0,0,0.14,0.14,System.Web.Mvc.dll
"System.Linq.Expressions.Expression.GreaterThanOrEqual(class System.Linq.Expressions.Expression,class System.Linq.Expressions.Expression,bool,class System.Reflection.MethodInfo)",2,0,0,0.14,0.14,System.Core.dll
SmsFeedback_Take4.Controllers.TagsController.GetSpecialTags(),1,1.22,0,698.77,0.28,SmsFeedback_Take4.dll
"SmsFeedback_Take4.Controllers.ReportsController.ComputeNoOfOutgoingSms(valuetype System.DateTime,valuetype System.DateTime,class System.Collections.Generic.IEnumerable`1<class SmsFeedback_EFModels.WorkingPoint>)",3,2.41,0,461.72,0.09,SmsFeedback_Take4.dll
ASP.views_shared_site_master.FrameworkInitialize(),2,0.01,0,3.56,0.14,App_Web_e03r53wt.dll
"System.Linq.Enumerable.Range(int32,int32)",13,0,0,0.02,0.02,System.Core.dll
"SmsFeedback_Take4.Controllers.ReportsController.ComputeNoOfIncomingSms(valuetype System.DateTime,valuetype System.DateTime,class System.Collections.Generic.IEnumerable`1<class SmsFeedback_EFModels.WorkingPoint>)",3,4.68,0,896.84,0.09,SmsFeedback_Take4.dll
